Titulo,Autor,Capa,LinkPDF
A Beleza de Ser Imperfeito,Malthus Vane,,https://cdn.jsdelivr.net/gh/malthusvane-debug/shelves/a-beleza-de-ser-imperfeito.pdf
Identificação de Forças Individuais,Malthus Vane,,https://cdn.jsdelivr.net/gh/malthusvane-debug/shelves/identificacao-de-forcas-individuais.pdf
Obdico e dirige,Malthus Vane,,https://cdn.jsdelivr.net/gh/malthusvane-debug/shelves/obsessao-e-controle.pdf
Princípios da Influência,Malthus Vane,,https://cdn.jsdelivr.net/gh/malthusvane-debug/shelves/principios-da-influencia.pdf
Revelações na Sombra,Malthus Vane,,https://cdn.jsdelivr.net/gh/malthusvane-debug/shelves/revelacoes-na-sombra.pdf
Território da Morte,Malthus Vane,,https://cdn.jsdelivr.net/gh/malthusvane-debug/shelves/territorio-da-morte.pdf
